Intake_g,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
160.0,445.0,17.0,23.0,12.0,0.0,42.0,5.0,0.856,雞肉可頌堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_雞肉可頌堡
145.0,287.0,9.7,12.9,1.7,0.0,32.9,1.3,0.637,歐姆蛋嫩雞捲餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_歐姆蛋嫩雞捲餅
140.0,413.0,13.2,23.5,14.6,0.0,37.1,3.1,0.641,迷迭香雞肉可頌三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_迷迭香雞肉可頌三明治
100.0,252.0,8.1,15.1,6.9,0.0,21.0,4.2,0.375,義式臘腸烘蛋派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_義式臘腸烘蛋派
210.0,252.0,6.7,14.7,1.7,0.0,23.5,4.4,0.519,凱薩雞肉藜麥沙拉,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_凱薩雞肉藜麥沙拉
85.0,278.0,6.9,16.6,9.0,0.2,25.3,7.6,0.052,抹茶千層薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_抹茶千層薄餅
150.0,416.0,17.9,20.3,11.4,0.0,40.5,4.2,0.768,焗烤法國先生三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_焗烤法國先生三明治
120.0,346.0,13.9,12.8,4.7,0.0,43.6,1.8,0.697,艾曼達乾酪里肌三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_艾曼達乾酪里肌三明治
90.0,293.0,3.9,16.6,10.3,0.3,32.2,9.2,0.264,南瓜派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_南瓜派
65.0,215.0,3.1,8.0,5.3,0.0,32.5,14.6,0.156,蔓越莓卡士達丹麥捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蔓越莓卡士達丹麥捲
220.0,286.0,8.8,9.7,3.7,0.0,40.9,20.5,0.103,莓果燕麥優格,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_莓果燕麥優格
120.0,353.0,4.2,0.6,0.0,0.0,82.7,55.9,0.023,萬聖節綜合水果風味軟糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_萬聖節綜合水果風味軟糖
85.0,252.0,4.6,16.1,6.9,0.0,22.2,9.7,0.094,芋泥派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_芋泥派
105.0,294.0,4.2,18.5,11.7,0.0,27.7,12.6,0.051,紫薯蒙布朗薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_紫薯蒙布朗薄餅
650.0,1970.0,38.4,104.7,69.6,1.3,219.7,115.1,0.377,6吋抹茶千層薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_6吋抹茶千層薄餅
680.0,2013.0,36.7,128.5,55.1,0.0,177.5,77.5,0.748,9吋芋泥派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_9吋芋泥派
85.0,423.0,6.9,29.1,16.1,0.0,33.6,4.9,0.161,國王派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_國王派
420.0,1546.0,27.0,64.3,33.6,1.7,214.2,91.6,0.655,潘娜朵尼水果麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_潘娜朵尼水果麵包
80.0,278.0,7.3,11.0,5.7,0.0,36.6,9.1,0.238,巧克力樹幹麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_巧克力樹幹麵包
190.0,376.0,19.6,12.9,4.9,0.0,45.6,4.2,0.781,青醬牛肉佛卡夏,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_青醬牛肉佛卡夏
45.0,189.0,2.8,11.5,7.7,0.2,18.5,12.6,0.086,橙香起司布朗尼,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_橙香起司布朗尼
150.0,570.0,8.3,30.9,18.5,0.2,64.8,27.6,0.075,蒙布朗聖諾黑,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蒙布朗聖諾黑
